GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",population,55200,NA
01003,"Baldwin County, Alabama",population,208107,NA
01005,"Barbour County, Alabama",population,25782,NA
01007,"Bibb County, Alabama",population,22527,NA
01009,"Blount County, Alabama",population,57645,NA
01011,"Bullock County, Alabama",population,10352,NA
01013,"Butler County, Alabama",population,20025,NA
01015,"Calhoun County, Alabama",population,115098,NA
01017,"Chambers County, Alabama",population,33826,NA
01019,"Cherokee County, Alabama",population,25853,NA
01021,"Chilton County, Alabama",population,43930,NA
01023,"Choctaw County, Alabama",population,13075,NA
01025,"Clarke County, Alabama",population,24387,NA
01027,"Clay County, Alabama",population,13378,NA
01029,"Cleburne County, Alabama",population,14938,NA
01031,"Coffee County, Alabama",population,51288,NA
01033,"Colbert County, Alabama",population,54495,NA
01035,"Conecuh County, Alabama",population,12514,NA
01037,"Coosa County, Alabama",population,10855,NA
01039,"Covington County, Alabama",population,37351,NA
01041,"Crenshaw County, Alabama",population,13865,NA
01043,"Cullman County, Alabama",population,82313,NA
01045,"Dale County, Alabama",population,49255,NA
01047,"Dallas County, Alabama",population,40029,NA
01049,"DeKalb County, Alabama",population,71200,NA
01051,"Elmore County, Alabama",population,81212,NA
01053,"Escambia County, Alabama",population,37328,NA
01055,"Etowah County, Alabama",population,102939,NA
01057,"Fayette County, Alabama",population,16585,NA
01059,"Franklin County, Alabama",population,31542,NA
01061,"Geneva County, Alabama",population,26491,NA
01063,"Greene County, Alabama",population,8426,NA
01065,"Hale County, Alabama",population,14887,NA
01067,"Henry County, Alabama",population,17124,NA
01069,"Houston County, Alabama",population,104352,NA
01071,"Jackson County, Alabama",population,52094,NA
01073,"Jefferson County, Alabama",population,659892,NA
01075,"Lamar County, Alabama",population,13933,NA
01077,"Lauderdale County, Alabama",population,92585,NA
01079,"Lawrence County, Alabama",population,33171,NA
01081,"Lee County, Alabama",population,159287,NA
01083,"Limestone County, Alabama",population,93052,NA
01085,"Lowndes County, Alabama",population,10236,NA
01087,"Macon County, Alabama",population,19054,NA
