Model,Threshold,Mean Pred,Precision,Recall,F1 Score,F2 Score,AUROC,Avg Prec,Brier Score,ACE,FPR,FNR,Total Pos Pred,Tuned,Threshold Method
LGBM Basic,0.5,0.0216078161390533,0.84,0.42,0.56,0.4666666666666667,0.8778285714285714,0.5208256008604207,0.019480222631734653,0.010997832243012987,0.0025396825396825397,0.58,25,Not,NA
LGBM Basic,0.5,0.02807471267627973,1.0,0.32,0.48484848484848486,0.37037037037037035,0.8760380952380953,0.5101674645280915,0.020383251765102386,0.008335027531117466,0.0,0.68,16,Tuned,NA
LGBM Basic (T),0.7175436213063129,0.0216078161390533,1.0,0.4,0.5714285714285714,0.45454545454545453,0.8778285714285714,0.5208256008604207,0.019480222631734653,0.010997832243012987,0.0,0.6,20,Not,pr
LGBM Basic (T),0.39704296795729926,0.02807471267627973,0.9047619047619048,0.38,0.5352112676056338,0.4298642533936652,0.8760380952380953,0.5101674645280915,0.020383251765102386,0.008335027531117466,0.0012698412698412698,0.62,21,Tuned,pr
LGBM Over,0.5,0.040768883445426826,0.5217391304347826,0.48,0.5,0.4878048780487805,0.8492063492063491,0.5146771223720578,0.026313709183597114,0.031162920095458204,0.013968253968253968,0.52,46,Not,NA
LGBM Over,0.5,0.019954565390549454,0.7586206896551724,0.44,0.5569620253164557,0.48034934497816595,0.8497650793650793,0.5262861761547892,0.020209709303299003,0.01376698370269594,0.0044444444444444444,0.56,29,Tuned,NA
LGBM Weighted,0.5,0.045117789092166856,0.5,0.5,0.5,0.5,0.851504761904762,0.5187788624359945,0.027213371107687807,0.02911666586289851,0.015873015873015872,0.5,50,Not,NA
LGBM Weighted,0.5,0.05070361690712198,0.5,0.46,0.4791666666666667,0.46747967479674796,0.8504,0.5181092086254668,0.027251481185271126,0.033892288953150704,0.014603174603174604,0.54,46,Tuned,NA
Logistic Basic,0.5,0.03106259126722134,0.0,0.0,0.0,0.0,0.7523047619047619,0.0926607934189214,0.029567489223499357,0.014870066663079705,0.0006349206349206349,1.0,1,Not,NA
Logistic Basic (T),0.06314756524344219,0.03106259126722134,0.10548523206751055,0.5,0.17421602787456447,0.28604118993135014,0.7523047619047619,0.0926607934189214,0.029567489223499357,0.014870066663079705,0.1346031746031746,0.5,237,Not,pr
Logistic Over,0.5,0.34996134315444577,0.06196581196581197,0.58,0.11196911196911197,0.21706586826347304,0.743695238095238,0.08361447758428632,0.1859926401336306,0.3186029245467361,0.2787301587301587,0.42,468,Not,NA
Logistic Weighted,0.5,0.34955430268040466,0.06578947368421052,0.6,0.11857707509881422,0.22865853658536586,0.7515301587301588,0.08440912876247955,0.18328846589112338,0.31819765351789703,0.2704761904761905,0.4,456,Not,NA
