ID,Metric,Setting,RF,ExtraTrees,XGBoost,LightGBM,CatBoost,EBM,FastAIMLP,TorchMLP,RealMLP,TabM,MNCA,TabPFNv2,TabDPT,TabICL,Linear,KNN,AutoGluon
APSFailure,AUC,Default,0.990±0.002,0.990±0.002,0.992±0.002,0.992±0.002,0.992±0.003,0.991±0.002,0.988±0.003,0.990±0.002,0.991±0.002,0.992±0.002,0.991±0.003,-,0.990±0.003,0.993±0.002,0.988±0.002,0.960±0.005,-
APSFailure,AUC,Tuned,0.990±0.002,0.990±0.003,0.992±0.002,0.992±0.002,0.992±0.002,0.991±0.002,0.989±0.002,0.991±0.002,0.991±0.002,0.992±0.002,0.991±0.002,-,-,-,0.988±0.002,0.985±0.002,-
APSFailure,AUC,Tuned + Ens.,0.990±0.002,0.991±0.002,0.992±0.002,0.992±0.002,0.992±0.003,0.991±0.002,0.991±0.002,0.992±0.001,0.992±0.002,0.993±0.002,0.993±0.002,-,-,-,0.990±0.001,0.990±0.002,0.993±0.002
Amazon_employee_access,AUC,Default,0.839±0.005,0.833±0.006,0.834±0.007,0.843±0.009,0.882±0.008,0.839±0.006,0.854±0.007,0.835±0.007,0.844±0.007,0.833±0.009,0.846±0.008,-,0.841±0.006,0.854±0.006,0.848±0.009,0.750±0.006,-
Amazon_employee_access,AUC,Tuned,0.841±0.005,0.841±0.007,0.859±0.008,0.850±0.007,0.883±0.008,0.841±0.007,0.853±0.008,0.838±0.006,0.846±0.008,0.842±0.009,0.860±0.008,-,-,-,0.850±0.008,0.817±0.006,-
Amazon_employee_access,AUC,Tuned + Ens.,0.849±0.005,0.845±0.006,0.862±0.008,0.858±0.009,0.883±0.007,0.842±0.006,0.866±0.007,0.849±0.007,0.864±0.008,0.849±0.009,0.869±0.007,-,-,-,0.851±0.008,0.852±0.006,0.882±0.005
Another-Dataset-on-used-Fiat-500,rmse,Default,750.8±28.4,744.2±29.5,754.6±23.0,746.0±22.4,738.1±20.8,749.9±22.9,760.5±17.6,775.0±26.3,757.4±23.8,752.1±23.3,753.7±27.0,727.7±23.8,724.0±22.1,-,793.8±25.4,823.7±28.9,-
Another-Dataset-on-used-Fiat-500,rmse,Tuned,736.5±24.8,735.8±26.5,741.4±22.2,740.4±24.6,736.3±21.8,750.0±24.1,761.2±21.6,769.8±25.0,756.0±22.4,755.0±25.0,748.2±27.6,733.2±27.2,-,-,764.2±19.2,801.5±29.5,-
Another-Dataset-on-used-Fiat-500,rmse,Tuned + Ens.,735.4±25.3,735.1±26.7,737.1±22.6,729.4±22.7,732.9±21.9,745.7±23.6,756.3±21.4,765.0±24.7,726.6±24.0,748.0±22.8,731.1±28.2,727.4±26.0,-,-,764.4±19.3,782.2±27.7,729.6±24.6
Bank_Customer_Churn,AUC,Default,0.851±0.008,0.851±0.006,0.864±0.009,0.864±0.009,0.870±0.009,0.862±0.010,0.859±0.009,0.860±0.008,0.866±0.009,0.869±0.010,0.864±0.008,0.872±0.009,0.859±0.008,0.868±0.009,0.772±0.010,0.814±0.010,-
