Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset
46913 (363621),blood-transfusion-service-center,[65],748,5,2,20,✓| ✓
46921 (363629),diabetes,[66],768,9,2,11.11,✓| ✓
46906 (363614),anneal,[67],898,39,5,84.62,✓| ✓
46954 (363698),QSAR_fish_toxicity,[68],907,7,-,0,✓| ✗
46918 (363626),credit-g,[69],1000,21,2,66.67,✓| ✓
46941 (363685),maternal_health_risk,[70],1014,7,3,14.29,✓| ✓
46917 (363625),concrete_compressive_strength,[71],1030,9,-,0,✓| ✗
46952 (363696),qsar-biodeg,[72],1054,42,2,14.29,✓| ✓
46931 (363675),healthcare_insurance_expenses,[73],1338,7,-,42.86,✓| ✗
46963 (363707),website_phishing,[74],1353,10,3,100,✓| ✓
46927 (363671),Fitness_Club,[75],1500,7,2,57.14,✓| ✓
46904 (363612),airfoil_self_noise,[76],1503,6,-,16.67,✓| ✗
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,-,12.5,✓| ✗
46980 (363711),MIC,[78],1699,112,8,84.82,✓| ✓
46938 (363682),Is-this-a-good-customer,[79],1723,14,2,64.29,✓| ✓
46940 (363684),Marketing_Campaign,[80],2240,26,2,34.62,✓| ✓
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2,3.23,✓| ✓
46956 (363700),seismic-bumps,[82],2584,16,2,25,✓| ✓
46958 (363702),splice,[83],3190,61,3,100,✓| ✓
46912 (363620),Bioresponse,[84],3751,1777,2,0.06,✗| ✗
46933 (363677),hiva_agnostic,[85],3845,1618,3,100,✗| ✗
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3,48.65,✓| ✓
46915 (363623),churn,[87],5000,20,2,25,✓| ✓
46953 (363697),QSAR-TID-11,[88],5742,1025,-,0,✗| ✗
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2,1.54,✓| ✓
46964 (363708),wine_quality,[90],6497,13,-,7.69,✓| ✗
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2,1.05,✓| ✓
46969 (363689),NATICUSdroid,[92],7491,87,2,100,✓| ✓
46916 (363624),coil2000_insurance_policies,[93],9822,86,2,4.65,✓| ✓
46911 (363619),Bank_Customer_Churn,[94],10000,11,2,45.45,✓| ✓
46932 (363676),heloc,[95],10459,24,2,4.17,✓| ✓
46979 (363712),jm1,[96],10885,22,2,4.55,✓| ✓
46924 (363632),E-CommereShippingData,[97],10999,11,2,45.45,✓| ✓
46947 (363691),online_shoppers_intention,[98],12330,18,2,44.44,✓| ✓
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2,88,✓| ✓
46942 (363686),miami_housing,[100],13776,16,-,6.25,✓| ✗
46935 (363679),HR_Analytics_Job_Change_of_Data_Scientists,[101],19158,13,2,76.92,✗| ✓
46934 (363678),houses,[102],20640,9,-,0,✗| ✗
46961 (363705),superconductivity,[103],21263,82,-,0,✗| ✗
46919 (363627),credit_card_clients_default,[104],30000,24,2,16.67,✗| ✓
46905 (363613),Amazon_employee_access,[105],32769,10,2,100,✗| ✓
46910 (363618),bank-marketing,[106 | 107],45211,14,2,57.14,✗| ✓
46928 (363672),Food_Delivery_Time,[108],45451,10,-,30,✗| ✗
46949 (363693),physiochemical_protein,[109],45730,10,-,0,✗| ✗
46939 (363683),kddcup09_appetency,[110],50000,213,2,18.31,✗| ✓
46923 (363631),diamonds,[111],53940,10,-,30,✗| ✗
46922 (363630),Diabetes130US,[112],71518,48,2,83.33,✗| ✓
46908 (363616),APSFailure,[113],76000,171,2,0.58,✗| ✓
46955 (363699),SDSS17,[114],78053,12,3,25,✗| ✓
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2,77.27,✗| ✓
46929 (363673),GiveMeSomeCredit,[116],150000,11,2,9.09,✗| ✓
