Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Default,RF,0.99,0.993,0.30000000000000027
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned,RF,0.99,0.992,0.20000000000000018
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned + Ens.,RF,0.99,0.993,0.30000000000000027
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Default,RF,0.839,0.882,4.300000000000004
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned,RF,0.841,0.883,4.200000000000004
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned + Ens.,RF,0.849,0.883,3.400000000000003
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Default,RF,750.8,724.0,3.569525839104949
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned,RF,736.5,733.2,0.44806517311608346
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned + Ens.,RF,735.4,726.6,1.1966276856132656
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Default,RF,0.851,0.872,2.100000000000002
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned,RF,0.857,0.874,1.7000000000000015
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,RF,0.858,0.874,1.6000000000000014
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Default,RF,0.873,0.873,0.0
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned,RF,0.873,0.875,0.20000000000000018
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned + Ens.,RF,0.876,0.878,0.20000000000000018
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Default,RF,0.631,0.671,4.0000000000000036
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned,RF,0.656,0.671,1.5000000000000013
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned + Ens.,RF,0.657,0.673,1.6000000000000014
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Default,RF,0.739,0.744,0.5000000000000004
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned,RF,0.74,0.744,0.40000000000000036
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,RF,0.741,0.744,0.30000000000000027
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Default,RF,0.775,0.822,4.699999999999993
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned,RF,0.801,0.82,1.8999999999999906
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned + Ens.,RF,0.8,0.819,1.8999999999999906
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Default,RF,7.855,7.379,6.05983450031828
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned,RF,7.587,7.367,2.8996968498747826
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned + Ens.,RF,7.588,7.362,2.97838692672641
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Default,RF,0.846,0.866,2.0000000000000018
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned,RF,0.862,0.867,0.5000000000000004
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned + Ens.,RF,0.863,0.867,0.40000000000000036
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Default,RF,0.789,0.805,1.6000000000000014
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned,RF,0.802,0.804,0.20000000000000018
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned + Ens.,RF,0.802,0.805,0.30000000000000027
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Default,RF,0.721,0.751,3.0000000000000027
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned,RF,0.727,0.745,1.8000000000000016
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned + Ens.,RF,0.729,0.748,1.9000000000000017
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Default,RF,0.513,0.432,15.789473684210527
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned,RF,0.485,0.431,11.1340206185567
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned + Ens.,RF,0.474,0.43,9.282700421940927
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Default,RF,0.883,0.915,3.200000000000003
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned,RF,0.881,0.916,3.500000000000003
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned + Ens.,RF,0.882,0.919,3.7000000000000033
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Default,RF,0.977,0.987,1.0000000000000009
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned,RF,0.981,0.986,0.5000000000000004
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned + Ens.,RF,0.981,0.987,0.6000000000000005
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Default,RF,0.806,0.761,5.583126550868491
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned,RF,0.805,0.744,7.577639751552802
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned + Ens.,RF,0.796,0.734,7.788944723618096
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Default,RF,0.907,0.859,5.292171995589861
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned,RF,0.885,0.873,1.3559322033898318
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned + Ens.,RF,0.884,0.86,2.714932126696835
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Default,RF,0.085,0.074,12.941176470588244
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned,RF,0.073,0.073,0.0
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned + Ens.,RF,0.072,0.067,6.944444444444432
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Default,RF,1.898,1.119,41.04320337197049
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned,RF,1.891,1.112,41.195134849286084
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned + Ens.,RF,1.851,1.074,41.9773095623987
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Default,RF,0.046,0.016,65.21739130434783
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned,RF,0.028,0.022,21.428571428571434
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned + Ens.,RF,0.023,0.019,17.391304347826086
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Default,RF,0.726,0.766,4.0000000000000036
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned,RF,0.761,0.766,0.5000000000000004
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned + Ens.,RF,0.761,0.766,0.5000000000000004
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Default,RF,0.682,0.756,7.399999999999995
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned,RF,0.714,0.754,4.0000000000000036
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned + Ens.,RF,0.713,0.756,4.300000000000004
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Default,RF,0.915,0.928,1.3000000000000012
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned,RF,0.913,0.932,1.9000000000000017
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,RF,0.913,0.931,1.8000000000000016
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Default,RF,0.697,0.761,6.400000000000006
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned,RF,0.741,0.773,3.200000000000003
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned + Ens.,RF,0.742,0.773,3.1000000000000028
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Default,RF,5.261,4.214,19.9011594753849
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned,RF,5.189,4.171,19.61842358835999
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned + Ens.,RF,5.106,4.118,19.349784567175863
