Model,Elo,Elo 95% CI,Score,Rank,Harmonic Rank,Improvability (%),Median Train Time (s/1K),Median Predict Time (s/1K),Hardware
AutoGluon 1.4 (extreme 4h),1674,"+64/-51",0.779,7.11,3.25,5.696,582.21,6.116,GPU
RealTabPFN-v2.5 (tuned + ensembled),1622,"+87/-59",0.733,8.76,2.95,4.989,2040.22,8.92,GPU
RealTabPFN-v2.5 (tuned),1576,"+73/-54",0.675,10.47,4.04,5.962,2040.22,1.218,GPU
RealTabPFN-v2.5 (default),1544,"+71/-51",0.643,11.79,5.2,6.68,5.81,0.645,GPU
AutoGluon 1.4 (best 4h),1534,"+55/-51",0.542,12.23,5.48,8.82,1735.72,2.559,CPU
RealMLP (tuned + ensembled),1532,"+57/-47",0.541,12.29,7.13,8.942,2950.72,11.988,GPU
TabDPT (tuned + ensembled),1476,"+64/-52",0.51,14.92,4.58,8.97,4907.64,286.652,GPU
TabM (tuned + ensembled),1462,"+55/-42",0.415,15.58,8.43,10.369,3285.87,1.472,GPU
LightGBM (tuned + ensembled),1446,"+36/-31",0.372,16.4,11.34,11.57,416.98,2.639,CPU
RealMLP (tuned),1442,"+47/-47",0.371,16.62,8.87,10.411,2950.72,0.663,GPU
CatBoost (tuned + ensembled),1429,"+42/-42",0.351,17.3,10.3,11.136,1658.41,0.653,CPU
CatBoost (tuned),1417,"+41/-42",0.335,17.95,9.81,11.319,1658.41,0.081,CPU
TabDPT (tuned),1416,"+59/-58",0.418,17.96,6.14,10.351,4907.64,39.96,GPU
ModernNCA (tuned + ensembled),1406,"+82/-53",0.381,18.5,7.7,11.589,4621.67,8.149,GPU
TabM (tuned),1401,"+55/-47",0.333,18.77,9.81,11.277,3285.87,0.173,GPU
LightGBM (tuned),1396,"+30/-29",0.275,19.03,13.61,12.262,416.98,0.334,CPU
XGBoost (tuned + ensembled),1386,"+34/-34",0.289,19.61,12.83,12.354,693.49,1.69,CPU
CatBoost (default),1376,"+41/-43",0.302,20.17,11.47,12.131,6.83,0.08,CPU
ModernNCA (tuned),1368,"+45/-40",0.241,20.58,10.45,12.119,4621.67,0.475,GPU
xRFM (tuned + ensembled),1363,"+48/-40",0.259,20.89,12.21,12.749,846.88,2.552,GPU
XGBoost (tuned),1361,"+30/-32",0.233,21,15.22,12.678,693.49,0.308,CPU
