model,train_time_s_per_1k,improvement_percent
XGBoost,3,15.5
XGBoost,5,14.0
XGBoost,10,13.5
XGBoost,20,13.2
XGBoost,50,12.8
XGBoost,100,12.5
XGBoost,200,12.3
XGBoost,400,12.3
XGBoost,700,12.5
XGBoost,850,12.6
LightGBM,3,14.6
LightGBM,5,13.9
LightGBM,10,13.3
LightGBM,20,12.7
LightGBM,50,12.2
LightGBM,100,12.0
LightGBM,200,11.8
LightGBM,350,11.7
LightGBM,600,11.6
LightGBM,650,11.6
CatBoost,6,12.2
CatBoost,15,11.8
CatBoost,40,11.5
CatBoost,80,11.4
CatBoost,150,11.3
CatBoost,300,11.2
CatBoost,700,11.15
CatBoost,1100,11.10
CatBoost,1500,11.05
ModernNCA,15,15.7
ModernNCA,40,14.5
ModernNCA,100,12.2
ModernNCA,200,11.5
ModernNCA,500,11.3
ModernNCA,1000,11.2
ModernNCA,2000,11.35
ModernNCA,3000,11.55
ModernNCA,4500,11.75
TabM,10,13.8
TabM,20,13.3
TabM,50,12.9
TabM,100,12.4
TabM,200,11.9
TabM,400,11.5
TabM,800,11.1
TabM,1200,10.9
TabM,2000,10.7
TabM,3200,10.6
TabDPT,50,13.2
TabDPT,80,12.2
TabDPT,120,11.3
TabDPT,200,10.7
TabDPT,400,10.2
TabDPT,800,9.8
TabDPT,1500,9.5
TabDPT,2500,9.3
TabDPT,5000,9.2
RealMLP,10,15.0
RealMLP,20,12.5
RealMLP,40,11.3
RealMLP,80,10.7
RealMLP,150,10.3
RealMLP,300,9.9
RealMLP,600,9.6
RealMLP,1200,9.4
RealMLP,2200,9.3
RealMLP,3000,9.2
RealTabPFN-2.5,6,6.8
RealTabPFN-2.5,15,6.7
RealTabPFN-2.5,40,6.3
RealTabPFN-2.5,100,6.0
RealTabPFN-2.5,200,5.7
RealTabPFN-2.5,500,5.4
RealTabPFN-2.5,1000,5.2
RealTabPFN-2.5,2000,5.1
RealTabPFN-2.5,3500,5.0
