"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-01","7.61",",,X","0.00",",,0,2400","0.0",",,0","17.0",",,0,","15",",,W","24",",,0","5",",,0",,,"0.0",",I,0","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-02","8.50",",,X","0.00",",,0,2400","0.0",",,0","15.0",",,0,","12",",,W","19",",,0","5",",,0",,,"0.0",",I,0","17.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-03","11.41",",,X","0.00","T,,0,2400","0.0","T,,0","14.0",",,0,","18",",,W","28",",,0","7",",,0",,,"0.0",",I,0","19.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-04","11.63",",,X","0.00",",,0,2400","0.0",",,0","14.0",",,0,","25",",,W","30",",,0","19",",,0",,,"0.0",",I,0","23.0",",,X","30.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-05","13.87",",,X","0.00",",,0,2400","0.0",",,0","13.0",",,0,","29",",,W","36",",,0","21",",,0",,,"0.0",",I,0","23.9",",,X","29.1",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-06","8.28",",,X","0.00",",,0,2400","0.0",",,0","12.0",",,0,","25",",,W","33",",,0","17",",,0",,,"0.0",",I,0","17.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-07","9.62",",,X","0.00",",,0,2400","0.0",",,0","12.0",",,0,","28",",,W","34",",,0","21",",,0",,,"0.0",",I,0","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-08","10.07",",,X","0.00","T,,0,2400","0.0","T,,0","12.0",",,0,","19",",,W","26",",,0","12",",,0",,,"0.0",",I,0","15.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-09","10.96",",,X","0.00",",,0,2400","0.0",",,0","12.0",",,0,","17",",,W","23",",,0","10",",,0",,,"0.0",",I,0","19.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-10","10.07",",,X","0.00",",,0,2400","0.0",",,0","11.0",",,0,","26",",,W","34",",,0","18",",,0",,,"0.0",",I,0","16.1",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2001-01-11","5.14",",,X","0.00",",,0,2400","0.0",",,0","11.0",",,0,","29",",,W","39",",,0","18",",,0",,,"0.0",",I,0","12.1",",,X","14.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
