Model,Dataset,Predicted Probability
Logistic Basic,Train,0.017276160106586048
Logistic Basic,Train,0.03901470941103324
Logistic Basic,Train,0.12147771081748399
Logistic Basic,Train,0.0160918902285964
Logistic Basic,Train,0.0010817508981523806
Logistic Basic,Train,0.0014556828499346015
Logistic Basic,Train,0.012591967177599632
Logistic Basic,Train,0.009690292459823805
Logistic Basic,Train,0.0019464794045097073
Logistic Basic,Train,0.02425875158899671
Logistic Basic,Train,0.023678953506236344
Logistic Basic,Train,0.009115699072603895
Logistic Basic,Train,0.04821836945106665
Logistic Basic,Train,0.013315763230656936
Logistic Basic,Train,0.03098662922329264
Logistic Basic,Train,0.058135981656264914
Logistic Basic,Train,0.001436693756896018
Logistic Basic,Train,0.00574965603079467
Logistic Basic,Train,0.015541660568628993
Logistic Basic,Train,0.003216148244594838
Logistic Basic,Train,0.011778682479305032
Logistic Basic,Train,0.015640469707828744
Logistic Basic,Train,0.011583396324443608
Logistic Basic,Train,0.020989249322092268
Logistic Basic,Train,0.013003746405524073
Logistic Basic,Train,0.00623396641038172
Logistic Basic,Train,0.016061407882367523
Logistic Basic,Train,0.002415843952995073
Logistic Basic,Train,0.23606699913696763
Logistic Basic,Train,0.0178020150263161
Logistic Basic,Train,0.03733037030077719
Logistic Basic,Train,0.010771853505905949
Logistic Basic,Train,0.003258790749629273
Logistic Basic,Train,0.04723608860215382
Logistic Basic,Train,0.006928527956322633
Logistic Basic,Train,0.03814144786924703
Logistic Basic,Train,0.029029815555232902
Logistic Basic,Train,0.03425050849852561
Logistic Basic,Train,0.028781525161254113
Logistic Basic,Train,0.0021183732899500746
Logistic Basic,Train,0.010757560092892306
Logistic Basic,Train,0.0023358821170465648
Logistic Basic,Train,0.00415690905165608
Logistic Basic,Train,0.012725125060481967
Logistic Basic,Train,0.009316036320881786
Logistic Basic,Train,0.010013174531618414
Logistic Basic,Train,0.007966876024433663
Logistic Basic,Train,0.003957003934505432
Logistic Basic,Train,0.17340651564516635
Logistic Basic,Train,0.037581878221622504
Logistic Basic,Train,0.039507624156512176
Logistic Basic,Train,0.031032955617326177
Logistic Basic,Train,0.055253031516115485
Logistic Basic,Train,0.00869243332149495
Logistic Basic,Train,0.013336344924551682
Logistic Basic,Train,0.06695611113999494
Logistic Basic,Train,0.018120117623000063
Logistic Basic,Train,0.07411158811340433
Logistic Basic,Train,0.003131401567290168
Logistic Basic,Train,0.07599717396867915
Logistic Basic,Train,0.23754532613633572
Logistic Basic,Train,0.05722530703607781
Logistic Basic,Train,0.0010817508981523806
Logistic Basic,Train,0.011093159530559164
Logistic Basic,Train,0.1690038717183675
Logistic Basic,Train,0.002937728872117545
Logistic Basic,Train,0.0073845070790914515
Logistic Basic,Train,0.004672571549936528
Logistic Basic,Train,0.02311604868906796
Logistic Basic,Train,0.07336422441762556
Logistic Basic,Train,0.040852069064599546
Logistic Basic,Train,0.0050699855887476695
Logistic Basic,Train,0.04234147144882899
Logistic Basic,Train,0.02646283078124113
Logistic Basic,Train,0.028710081153637414
Logistic Basic,Train,0.07929637545529557
Logistic Basic,Train,0.02405967642680112
Logistic Basic,Train,0.012088334369131504
Logistic Basic,Train,0.006814947713844172
Logistic Basic,Train,0.03886661001065234
Logistic Basic,Train,0.014409808548042014
Logistic Basic,Train,0.046631489490981774
Logistic Basic,Train,0.06420419198133193
Logistic Basic,Train,0.15152293853498847
Logistic Basic,Train,0.012141985134643771
Logistic Basic,Train,0.019729621329726235
Logistic Basic,Train,0.004081007908990682
Logistic Basic,Train,0.00661085253583329
Logistic Basic,Train,0.012488748754283205
Logistic Basic,Train,0.012491691642877103
Logistic Basic,Train,0.0030052397501834746
Logistic Basic,Train,0.08813286578931505
Logistic Basic,Train,0.1282846041607853
Logistic Basic,Train,0.011370468894392425
Logistic Basic,Train,0.00042028700438456816
Logistic Basic,Train,0.05358932531929975
Logistic Basic,Train,0.001784323566433811
Logistic Basic,Train,0.012833950644288142
Logistic Basic,Train,0.02833723808000561
Logistic Basic,Train,0.24141941622146454
Logistic Basic,Train,0.008071221448186464
Logistic Basic,Train,0.015990483421907085
Logistic Basic,Train,0.010168877854441585
Logistic Basic,Train,0.007662007566153034
Logistic Basic,Train,0.07425303239836777
Logistic Basic,Train,0.004270970425469854
Logistic Basic,Train,0.002616796316427098
Logistic Basic,Train,0.011741406119178453
Logistic Basic,Train,0.0045499556740467954
Logistic Basic,Train,0.012453123268476635
Logistic Basic,Train,0.0022380374957841065
Logistic Basic,Train,0.026506883867629755
Logistic Basic,Train,0.00620033170638613
Logistic Basic,Train,0.009185198452830386
Logistic Basic,Train,0.0788298505447654
Logistic Basic,Train,0.0012782565663122408
Logistic Basic,Train,0.35170720133769756
Logistic Basic,Train,0.006384543712177265
Logistic Basic,Train,0.103804642299842
Logistic Basic,Train,0.03265360775766055
Logistic Basic,Train,0.08373414119782578
Logistic Basic,Train,0.001028116519552072
Logistic Basic,Train,0.0008816356490055983
Logistic Basic,Train,0.009610714437831824
Logistic Basic,Train,0.01241655678909863
Logistic Basic,Train,0.004953931856772406
Logistic Basic,Train,0.009628948977042391
Logistic Basic,Train,0.025330069887097892
Logistic Basic,Train,0.07510390556868904
Logistic Basic,Train,0.05625356130732561
Logistic Basic,Train,0.0016247640747698074
Logistic Basic,Train,0.03106958457316195
Logistic Basic,Train,0.021565720788869935
Logistic Basic,Train,0.006418448692735395
Logistic Basic,Train,0.03318026179789904
Logistic Basic,Train,0.05228004335750248
Logistic Basic,Train,0.0032065033749161674
Logistic Basic,Train,0.041182539540279194
Logistic Basic,Train,0.0794880532519374
Logistic Basic,Train,0.07280691727757407
Logistic Basic,Train,0.007795773901855792
Logistic Basic,Train,0.0009227372766163219
Logistic Basic,Train,0.00760176424367848
Logistic Basic,Train,0.01224898636502268
Logistic Basic,Train,0.034763862117950885
Logistic Basic,Train,0.0052996291005752
Logistic Basic,Train,0.01179388954104622
Logistic Basic,Train,0.0356251452418455
Logistic Basic,Train,0.04453464838718567
Logistic Basic,Train,0.013407951412745422
Logistic Basic,Train,0.030687624927471787
Logistic Basic,Train,0.0013861239203790834
Logistic Basic,Train,0.006759590539084594
Logistic Basic,Train,0.03096836327142702
Logistic Basic,Train,0.014862886860523034
Logistic Basic,Train,0.017287870649169756
Logistic Basic,Train,0.02460565332974804
Logistic Basic,Train,0.007327636248571145
Logistic Basic,Train,0.009335169723905025
Logistic Basic,Train,0.0851873180684108
Logistic Basic,Train,0.06943013533295703
Logistic Basic,Train,0.0008352121106354976
Logistic Basic,Train,0.015289790333423993
Logistic Basic,Train,0.05008245434108286
Logistic Basic,Train,0.003215239569067404
Logistic Basic,Train,0.037020835661593206
Logistic Basic,Train,0.01897196337479554
Logistic Basic,Train,0.03264252159094443
Logistic Basic,Train,0.012775644674873137
Logistic Basic,Train,0.042135545486185116
Logistic Basic,Train,0.006337113093582344
Logistic Basic,Train,0.012826281990470242
Logistic Basic,Train,0.006946421298515097
Logistic Basic,Train,0.008460073508663946
Logistic Basic,Train,0.014626425120122124
Logistic Basic,Train,0.022490008542487023
Logistic Basic,Train,0.01637314786949842
Logistic Basic,Train,0.033903933324423895
Logistic Basic,Train,0.0005527335713372192
Logistic Basic,Train,0.01440300483906841
Logistic Basic,Train,0.006337113093582344
Logistic Basic,Train,0.020671704513685156
Logistic Basic,Train,0.15391180593084475
Logistic Basic,Train,0.0047964007969563
Logistic Basic,Train,0.008091106851267769
Logistic Basic,Train,0.04379303771377839
Logistic Basic,Train,0.013054268541465503
Logistic Basic,Train,0.024166961536585953
Logistic Basic,Train,0.010683692351036164
Logistic Basic,Train,0.145929275927095
Logistic Basic,Train,0.002513230807165116
Logistic Basic,Train,0.00683809619145563
Logistic Basic,Train,0.008669966605695615
Logistic Basic,Train,0.12351418146498822
Logistic Basic,Train,0.015220226506364126
Logistic Basic,Train,0.09854522087620032
Logistic Basic,Train,0.05642027772977391
Logistic Basic,Train,0.005776734025178982
Logistic Basic,Train,0.041182539540279194
Logistic Basic,Train,0.00740897415710559
Logistic Basic,Train,0.00435113049355942
Logistic Basic,Train,0.006221237223346302
Logistic Basic,Train,0.034574316391788984
Logistic Basic,Train,0.00903666614060665
Logistic Basic,Train,0.02964255705920557
Logistic Basic,Train,0.0178020150263161
Logistic Basic,Train,0.0023817100911833777
Logistic Basic,Train,0.032329467318326754
Logistic Basic,Train,0.0006112990426780551
Logistic Basic,Train,0.05484128135543352
Logistic Basic,Train,0.009527450282991954
Logistic Basic,Train,0.026350809278517462
Logistic Basic,Train,0.014833194729688042
Logistic Basic,Train,0.003014871813385316
Logistic Basic,Train,0.15447452651667815
Logistic Basic,Train,0.010602159171992722
Logistic Basic,Train,0.018509127288093646
Logistic Basic,Train,0.03406066344853846
Logistic Basic,Train,0.004637186561625251
Logistic Basic,Train,0.01624122497984395
Logistic Basic,Train,0.03049271386502473
Logistic Basic,Train,0.00813883294315708
Logistic Basic,Train,0.008485153591637021
Logistic Basic,Train,0.04722181945748847
Logistic Basic,Train,0.03952528244854192
Logistic Basic,Train,0.006375584613678801
Logistic Basic,Train,0.008183090288243712
Logistic Basic,Train,0.02401725640581294
Logistic Basic,Train,0.013214223029204868
Logistic Basic,Train,0.006656535087591108
Logistic Basic,Train,0.07080287643496824
Logistic Basic,Train,0.0009466624383267432
Logistic Basic,Train,0.01872562646981742
Logistic Basic,Train,0.018421690934213582
Logistic Basic,Train,0.01823985626009024
Logistic Basic,Train,0.014979586507804659
Logistic Basic,Train,0.010895212227945783
Logistic Basic,Train,0.008788123301226497
Logistic Basic,Train,0.0009148366603722554
Logistic Basic,Train,0.007238877057584982
Logistic Basic,Train,0.028662679682424974
Logistic Basic,Train,0.019229480403797624
Logistic Basic,Train,0.022854103723206304
Logistic Basic,Train,0.02299357624185658
Logistic Basic,Train,0.044334695546404165
Logistic Basic,Train,0.0078065421074518
Logistic Basic,Train,0.11316184141701874
Logistic Basic,Train,0.05279828358107831
Logistic Basic,Train,0.015866709770267662
Logistic Basic,Train,0.02389267440930262
Logistic Basic,Train,0.009930677725831914
Logistic Basic,Train,0.006744082931672619
Logistic Basic,Train,0.0017154701135302897
Logistic Basic,Train,0.05018457387401506
Logistic Basic,Train,0.011472270645481496
Logistic Basic,Train,0.0035653986551632713
Logistic Basic,Train,0.004272564252021266
Logistic Basic,Train,0.012870787098605146
Logistic Basic,Train,0.019585719149951487
Logistic Basic,Train,0.00500752449087646
Logistic Basic,Train,0.005319425748898835
Logistic Basic,Train,0.0163827317609587
Logistic Basic,Train,0.11543374055940832
Logistic Basic,Train,0.007922782970774752
Logistic Basic,Train,0.003582062957149531
Logistic Basic,Train,0.004855325577986723
Logistic Basic,Train,0.004290513720337538
Logistic Basic,Train,0.03128477896248589
Logistic Basic,Train,0.02045772119510316
Logistic Basic,Train,0.008120466637864678
Logistic Basic,Train,0.0013099086800025122
Logistic Basic,Train,0.01729361697665278
Logistic Basic,Train,0.009753637424973122
Logistic Basic,Train,0.008548361847977333
Logistic Basic,Train,0.003357424238509166
Logistic Basic,Train,0.025015003084211205
Logistic Basic,Train,0.06429216932179906
Logistic Basic,Train,0.014051860378806914
Logistic Basic,Train,0.004600058890806965
Logistic Basic,Train,0.0034562063348334135
Logistic Basic,Train,0.022463626276471048
Logistic Basic,Train,0.005777344585571054
Logistic Basic,Train,0.004995872139749331
Logistic Basic,Train,0.012565620667540967
Logistic Basic,Train,0.007390030335208088
Logistic Basic,Train,0.010055147834047727
Logistic Basic,Train,0.0040852241377025535
Logistic Basic,Train,0.002004012603615171
